impression_id,watch_id,user_id,ad_id,video_id,timestamp,ad_position,ad_type,category_match,device
25,61,968,221,UXB9bnuyZb4,2024-08-07 21:24:00.000000,pre-roll,mid-roll,True,mobile
26,62,1163,162,UXB9bnuyZb4,2024-05-30 18:52:00.000000,pre-roll,mid-roll,True,desktop
27,62,1163,15,UXB9bnuyZb4,2024-05-30 18:53:22.727329,mid-roll,skippable,True,desktop
28,65,768,101,UXB9bnuyZb4,2024-08-03 00:09:00.000000,pre-roll,pre-roll,True,mobile
29,70,167,417,j4EFn3yppfs,2024-02-25 17:33:00.000000,pre-roll,banner,True,mobile
30,73,1734,353,j4EFn3yppfs,2024-04-15 18:47:00.000000,pre-roll,pre-roll,True,mobile
31,76,1091,218,j4EFn3yppfs,2024-03-24 18:14:00.000000,pre-roll,skippable,True,mobile
32,80,621,336,j4EFn3yppfs,2024-09-17 16:15:00.000000,pre-roll,non-skippable,True,mobile
33,80,621,200,j4EFn3yppfs,2024-09-17 16:16:17.104374,mid-roll,skippable,True,mobile
34,83,1562,186,j4EFn3yppfs,2024-09-03 20:05:00.000000,pre-roll,banner,True,smart_tv
35,84,1562,224,j4EFn3yppfs,2024-02-26 16:40:00.000000,pre-roll,pre-roll,True,mobile
36,87,1438,457,j4EFn3yppfs,2024-05-18 22:21:00.000000,pre-roll,pre-roll,True,desktop
37,87,1438,64,j4EFn3yppfs,2024-05-18 22:21:56.554061,mid-roll,mid-roll,False,desktop
38,87,1438,132,j4EFn3yppfs,2024-05-18 22:22:09.827209,mid-roll,banner,False,desktop
39,88,1682,28,j4EFn3yppfs,2024-10-23 16:36:00.000000,pre-roll,skippable,True,mobile
40,90,1913,406,l3ujdTrbD6w,2024-10-25 21:16:00.000000,pre-roll,non-skippable,True,mobile
41,91,1428,186,l3ujdTrbD6w,2024-01-16 20:29:00.000000,pre-roll,banner,True,mobile
42,93,700,352,l3ujdTrbD6w,2024-02-09 11:19:00.000000,pre-roll,non-skippable,False,mobile
43,104,1469,434,l3ujdTrbD6w,2024-02-20 18:01:00.000000,pre-roll,skippable,False,mobile
44,107,1734,303,l3ujdTrbD6w,2024-09-29 18:14:00.000000,pre-roll,pre-roll,False,mobile
45,107,1734,295,l3ujdTrbD6w,2024-09-29 18:15:31.271140,mid-roll,mid-roll,True,mobile
46,109,868,370,l3ujdTrbD6w,2024-07-10 17:37:00.000000,pre-roll,mid-roll,True,mobile
47,113,1921,398,l3ujdTrbD6w,2024-09-03 06:23:00.000000,pre-roll,banner,False,desktop
48,116,1286,98,_mbX3lDgEB0,2024-09-08 00:25:00.000000,pre-roll,mid-roll,True,desktop
49,118,31,295,_mbX3lDgEB0,2024-04-30 14:19:00.000000,pre-roll,mid-roll,True,mobile
50,121,1385,220,_mbX3lDgEB0,2024-04-19 12:28:00.000000,pre-roll,skippable,True,mobile
51,121,1385,420,_mbX3lDgEB0,2024-04-19 12:29:54.910700,mid-roll,skippable,True,mobile
52,122,653,308,_mbX3lDgEB0,2024-07-23 12:14:00.000000,pre-roll,bumper,False,mobile
53,126,688,212,_mbX3lDgEB0,2024-01-23 17:59:00.000000,pre-roll,non-skippable,False,smart_tv
54,126,688,295,_mbX3lDgEB0,2024-01-23 18:03:38.493844,post-roll,mid-roll,True,smart_tv
55,127,950,319,_mbX3lDgEB0,2024-01-26 19:07:00.000000,pre-roll,mid-roll,True,smart_tv
56,132,865,303,_mbX3lDgEB0,2024-01-01 23:22:00.000000,pre-roll,pre-roll,False,smart_tv
57,133,1853,72,_mbX3lDgEB0,2024-03-25 18:07:00.000000,pre-roll,skippable,False,mobile
58,135,1041,201,_mbX3lDgEB0,2024-12-05 19:38:00.000000,pre-roll,mid-roll,True,desktop
59,136,207,22,_mbX3lDgEB0,2024-10-03 09:28:00.000000,pre-roll,skippable,True,mobile
60,136,207,89,_mbX3lDgEB0,2024-10-03 09:30:10.043699,mid-roll,bumper,True,mobile
61,137,1837,101,_mbX3lDgEB0,2024-09-07 13:05:00.000000,pre-roll,pre-roll,True,mobile
62,141,1739,251,_mbX3lDgEB0,2024-11-24 20:24:00.000000,pre-roll,bumper,True,desktop
63,141,1739,404,_mbX3lDgEB0,2024-11-24 20:25:45.947295,mid-roll,non-skippable,True,desktop
64,142,1637,336,_mbX3lDgEB0,2024-03-22 10:11:00.000000,pre-roll,non-skippable,True,mobile
65,142,1637,362,_mbX3lDgEB0,2024-03-22 10:11:49.970734,mid-roll,mid-roll,True,mobile
66,142,1637,344,_mbX3lDgEB0,2024-03-22 10:11:36.542346,mid-roll,skippable,True,mobile
67,143,838,220,_mbX3lDgEB0,2024-02-22 22:53:00.000000,pre-roll,skippable,True,mobile
68,145,167,498,37EcUSDwzjA,2024-11-21 21:58:00.000000,pre-roll,skippable,True,mobile
69,145,167,28,37EcUSDwzjA,2024-11-21 21:58:49.618289,mid-roll,skippable,True,mobile
70,145,167,362,37EcUSDwzjA,2024-11-21 21:59:03.083980,mid-roll,mid-roll,True,mobile
71,146,1305,186,37EcUSDwzjA,2024-02-05 12:00:00.000000,pre-roll,banner,True,desktop
72,146,1305,188,37EcUSDwzjA,2024-02-05 12:01:34.763344,mid-roll,mid-roll,False,desktop
73,147,207,30,37EcUSDwzjA,2024-01-26 18:01:00.000000,pre-roll,mid-roll,False,mobile
74,155,1646,220,37EcUSDwzjA,2024-10-22 21:09:00.000000,pre-roll,skippable,True,desktop
75,156,1061,49,37EcUSDwzjA,2024-08-30 19:16:00.000000,pre-roll,bumper,False,desktop
76,156,1061,342,37EcUSDwzjA,2024-08-30 19:17:55.132595,mid-roll,mid-roll,False,desktop
77,156,1061,295,37EcUSDwzjA,2024-08-30 19:17:28.880040,mid-roll,mid-roll,True,desktop
78,159,180,113,37EcUSDwzjA,2024-01-12 16:14:00.000000,pre-roll,mid-roll,True,desktop
79,160,604,141,37EcUSDwzjA,2024-01-11 20:53:00.000000,pre-roll,mid-roll,True,desktop
80,161,1873,28,37EcUSDwzjA,2024-09-27 22:01:00.000000,pre-roll,skippable,True,tablet
81,161,1873,453,37EcUSDwzjA,2024-09-27 22:03:16.235075,mid-roll,banner,True,tablet
82,161,1873,57,37EcUSDwzjA,2024-09-27 22:02:08.523070,mid-roll,non-skippable,False,tablet
83,162,22,220,37EcUSDwzjA,2024-09-08 08:24:00.000000,pre-roll,skippable,True,smart_tv
84,163,638,362,37EcUSDwzjA,2024-02-16 23:04:00.000000,pre-roll,mid-roll,True,desktop
85,163,638,109,37EcUSDwzjA,2024-02-16 23:05:28.571892,mid-roll,mid-roll,False,desktop
86,164,747,117,37EcUSDwzjA,2024-07-04 22:16:00.000000,pre-roll,mid-roll,False,mobile
87,164,747,120,37EcUSDwzjA,2024-07-04 22:16:36.853018,mid-roll,non-skippable,True,mobile
88,165,1586,479,37EcUSDwzjA,2024-04-08 20:54:00.000000,pre-roll,pre-roll,True,smart_tv
89,166,261,95,37EcUSDwzjA,2024-05-28 02:50:00.000000,pre-roll,pre-roll,True,desktop
90,168,262,304,37EcUSDwzjA,2024-11-15 11:56:00.000000,pre-roll,bumper,True,mobile
91,170,1154,345,37EcUSDwzjA,2024-11-08 08:49:00.000000,pre-roll,banner,False,mobile
92,172,1859,245,37EcUSDwzjA,2024-12-18 05:47:00.000000,pre-roll,pre-roll,False,tablet
93,173,1837,14,37EcUSDwzjA,2024-07-23 10:49:00.000000,pre-roll,pre-roll,False,mobile
94,177,5,454,lo4bA4p3MBQ,2024-08-26 17:20:00.000000,pre-roll,skippable,False,mobile
95,177,5,151,lo4bA4p3MBQ,2024-08-26 17:21:05.046236,mid-roll,pre-roll,True,mobile
96,177,5,444,lo4bA4p3MBQ,2024-08-26 17:20:50.145220,mid-roll,skippable,True,mobile
97,180,1811,74,lo4bA4p3MBQ,2024-09-05 16:09:00.000000,pre-roll,skippable,True,smart_tv
98,183,1971,362,lo4bA4p3MBQ,2024-01-02 11:45:00.000000,pre-roll,mid-roll,True,mobile
99,184,1586,395,lo4bA4p3MBQ,2024-02-20 19:57:00.000000,pre-roll,bumper,False,mobile
100,187,720,120,lo4bA4p3MBQ,2024-08-01 20:30:00.000000,pre-roll,non-skippable,True,smart_tv
101,187,720,38,lo4bA4p3MBQ,2024-08-01 20:31:35.562002,mid-roll,skippable,True,smart_tv
102,188,1165,428,lo4bA4p3MBQ,2024-05-29 21:04:00.000000,pre-roll,pre-roll,True,desktop
103,189,413,275,lo4bA4p3MBQ,2024-04-23 18:03:00.000000,pre-roll,pre-roll,True,smart_tv
104,191,1024,69,y7mBe6BrNtI,2024-09-30 17:20:00.000000,pre-roll,skippable,False,mobile
105,193,1518,288,y7mBe6BrNtI,2024-08-04 06:32:00.000000,pre-roll,mid-roll,True,mobile
106,194,1183,23,y7mBe6BrNtI,2024-12-02 22:46:00.000000,pre-roll,pre-roll,True,desktop
107,194,1183,28,y7mBe6BrNtI,2024-12-02 22:48:13.647911,mid-roll,skippable,True,desktop
108,196,382,151,y7mBe6BrNtI,2024-04-01 11:25:00.000000,pre-roll,pre-roll,True,smart_tv
109,196,382,6,y7mBe6BrNtI,2024-04-01 11:25:59.342097,mid-roll,skippable,False,smart_tv
110,198,876,221,y7mBe6BrNtI,2024-04-19 12:01:00.000000,pre-roll,mid-roll,True,desktop
111,200,1583,75,y7mBe6BrNtI,2024-12-27 19:30:00.000000,pre-roll,mid-roll,False,desktop
112,201,594,53,y7mBe6BrNtI,2024-06-08 10:22:00.000000,pre-roll,bumper,False,mobile
113,201,594,457,y7mBe6BrNtI,2024-06-08 10:22:35.889979,mid-roll,pre-roll,True,mobile
114,202,1898,404,y7mBe6BrNtI,2024-11-08 20:12:00.000000,pre-roll,non-skippable,True,mobile
115,203,1682,37,y7mBe6BrNtI,2024-04-06 11:48:00.000000,pre-roll,mid-roll,False,mobile
116,207,539,443,y7mBe6BrNtI,2024-04-21 22:18:00.000000,pre-roll,skippable,True,desktop
117,207,539,232,y7mBe6BrNtI,2024-04-21 22:18:37.572549,mid-roll,pre-roll,False,desktop
118,211,751,251,y7mBe6BrNtI,2024-10-19 18:41:00.000000,pre-roll,bumper,True,mobile
119,211,751,444,y7mBe6BrNtI,2024-10-19 18:42:14.464339,mid-roll,skippable,True,mobile
120,215,19,291,y7mBe6BrNtI,2024-01-21 21:50:00.000000,pre-roll,non-skippable,True,smart_tv
121,218,1475,186,y7mBe6BrNtI,2024-07-19 20:04:00.000000,pre-roll,banner,True,mobile
122,220,225,221,y7mBe6BrNtI,2024-04-27 12:27:00.000000,pre-roll,mid-roll,True,mobile
123,220,225,463,y7mBe6BrNtI,2024-04-27 12:29:16.578628,mid-roll,skippable,False,mobile
124,221,1211,405,y7mBe6BrNtI,2024-03-12 15:10:00.000000,pre-roll,banner,True,mobile
125,225,15,89,pOLTgOnHwwI,2024-05-12 23:18:00.000000,pre-roll,bumper,True,tablet
126,226,155,267,pOLTgOnHwwI,2024-12-11 10:20:00.000000,pre-roll,non-skippable,True,mobile
127,231,1660,74,pOLTgOnHwwI,2024-04-06 11:18:00.000000,pre-roll,skippable,True,desktop
128,232,1921,439,pOLTgOnHwwI,2024-05-20 03:02:00.000000,pre-roll,skippable,False,mobile
129,232,1921,319,pOLTgOnHwwI,2024-05-20 03:03:46.821777,mid-roll,mid-roll,True,mobile
130,232,1921,353,pOLTgOnHwwI,2024-05-20 03:06:48.993381,post-roll,pre-roll,True,mobile
131,233,728,110,pOLTgOnHwwI,2024-11-30 11:45:00.000000,pre-roll,banner,True,mobile
132,234,852,220,pOLTgOnHwwI,2024-01-13 02:58:00.000000,pre-roll,skippable,True,desktop
133,238,727,288,mkcgVN90zl0,2024-02-05 22:00:00.000000,pre-roll,mid-roll,True,mobile
134,239,1682,220,mkcgVN90zl0,2024-04-12 17:12:00.000000,pre-roll,skippable,True,mobile
135,239,1682,443,mkcgVN90zl0,2024-04-12 17:12:36.585948,mid-roll,skippable,True,mobile
136,240,1444,162,mkcgVN90zl0,2024-07-26 06:02:00.000000,pre-roll,mid-roll,True,tablet
137,241,1104,224,mkcgVN90zl0,2024-04-13 12:24:00.000000,pre-roll,pre-roll,True,desktop
138,241,1104,251,mkcgVN90zl0,2024-04-13 12:25:02.740595,mid-roll,bumper,True,desktop
139,244,1139,170,mkcgVN90zl0,2024-12-22 19:54:00.000000,pre-roll,bumper,False,mobile
140,245,1965,362,mkcgVN90zl0,2024-09-13 07:40:00.000000,pre-roll,mid-roll,True,mobile
141,245,1965,406,mkcgVN90zl0,2024-09-13 07:43:10.115082,mid-roll,non-skippable,True,mobile
142,245,1965,336,mkcgVN90zl0,2024-09-13 07:44:34.222656,post-roll,non-skippable,True,mobile
143,246,295,295,mkcgVN90zl0,2024-05-30 16:20:00.000000,pre-roll,mid-roll,True,desktop
144,248,1636,162,mkcgVN90zl0,2024-08-29 15:36:00.000000,pre-roll,mid-roll,True,mobile
145,250,419,498,mkcgVN90zl0,2024-11-29 09:55:00.000000,pre-roll,skippable,True,mobile
146,252,78,324,mkcgVN90zl0,2024-06-28 09:51:00.000000,pre-roll,pre-roll,True,desktop
147,253,1689,123,mkcgVN90zl0,2024-04-25 18:10:00.000000,pre-roll,banner,False,mobile
148,253,1689,284,mkcgVN90zl0,2024-04-25 18:11:07.072962,mid-roll,pre-roll,True,mobile
149,254,1308,275,mkcgVN90zl0,2024-09-10 14:48:00.000000,pre-roll,pre-roll,True,desktop
150,256,1673,408,mkcgVN90zl0,2024-06-10 22:38:00.000000,pre-roll,non-skippable,True,tablet
151,260,337,275,mkcgVN90zl0,2024-08-30 12:28:00.000000,pre-roll,pre-roll,True,mobile
152,262,567,141,mkcgVN90zl0,2024-09-14 12:29:00.000000,pre-roll,mid-roll,True,desktop
153,267,564,224,mkcgVN90zl0,2024-01-30 08:47:00.000000,pre-roll,pre-roll,True,tablet
154,270,1034,457,1E3tv_3D95g,2024-01-31 20:39:00.000000,pre-roll,pre-roll,True,desktop
155,272,1475,490,1E3tv_3D95g,2024-08-26 17:53:00.000000,pre-roll,skippable,False,mobile
156,277,902,304,1E3tv_3D95g,2024-06-09 08:52:00.000000,pre-roll,bumper,True,smart_tv
157,277,902,201,1E3tv_3D95g,2024-06-09 08:53:28.131371,mid-roll,mid-roll,True,smart_tv
158,280,977,151,1E3tv_3D95g,2024-08-31 16:51:00.000000,pre-roll,pre-roll,True,mobile
159,280,977,200,1E3tv_3D95g,2024-08-31 16:53:16.312170,mid-roll,skippable,True,mobile
160,285,525,479,Zak0XAGVm4c,2024-11-09 13:20:00.000000,pre-roll,pre-roll,True,smart_tv
161,287,747,319,Zak0XAGVm4c,2024-07-13 05:41:00.000000,pre-roll,mid-roll,True,mobile
162,287,747,444,Zak0XAGVm4c,2024-07-13 05:42:57.101707,mid-roll,skippable,True,mobile
163,293,109,452,Zak0XAGVm4c,2024-12-04 19:05:00.000000,pre-roll,non-skippable,False,tablet
164,293,109,100,Zak0XAGVm4c,2024-12-04 19:06:45.177526,mid-roll,mid-roll,True,tablet
165,294,391,131,Zak0XAGVm4c,2024-07-23 15:37:00.000000,pre-roll,pre-roll,True,mobile
166,294,391,89,Zak0XAGVm4c,2024-07-23 15:38:49.443745,mid-roll,bumper,True,mobile
167,295,747,314,Zak0XAGVm4c,2024-10-28 21:04:00.000000,pre-roll,bumper,False,mobile
168,297,1620,26,s2OccJMWwkM,2024-11-25 13:35:00.000000,pre-roll,banner,False,mobile
169,302,977,210,s2OccJMWwkM,2024-05-05 13:23:00.000000,pre-roll,non-skippable,True,desktop
170,304,1352,471,s2OccJMWwkM,2024-11-20 00:15:00.000000,pre-roll,bumper,False,tablet
171,307,1564,218,s2OccJMWwkM,2024-07-05 12:03:00.000000,pre-roll,skippable,True,desktop
172,308,1682,421,s2OccJMWwkM,2024-10-31 12:16:00.000000,pre-roll,banner,True,mobile
173,309,638,218,t1FTD-hTKnE,2024-12-01 02:39:00.000000,pre-roll,skippable,True,smart_tv
174,312,956,394,t1FTD-hTKnE,2024-09-13 23:01:00.000000,pre-roll,mid-roll,False,tablet
175,312,956,224,t1FTD-hTKnE,2024-09-13 23:02:16.547736,mid-roll,pre-roll,True,tablet
176,312,956,202,t1FTD-hTKnE,2024-09-13 23:02:29.987874,mid-roll,bumper,False,tablet
177,316,747,200,t1FTD-hTKnE,2024-01-06 18:09:00.000000,pre-roll,skippable,True,mobile
178,318,541,370,t1FTD-hTKnE,2024-11-11 10:44:00.000000,pre-roll,mid-roll,True,desktop
179,320,862,333,t1FTD-hTKnE,2024-07-08 13:48:00.000000,pre-roll,bumper,True,tablet
180,321,590,288,_0ZfwsCKRHQ,2024-06-21 07:23:00.000000,pre-roll,mid-roll,True,tablet
181,321,590,218,_0ZfwsCKRHQ,2024-06-21 07:24:24.998452,mid-roll,skippable,True,tablet
182,321,590,89,_0ZfwsCKRHQ,2024-06-21 07:27:40.469477,post-roll,bumper,True,tablet
183,323,1811,379,_0ZfwsCKRHQ,2024-04-14 02:41:00.000000,pre-roll,mid-roll,False,smart_tv
184,323,1811,141,_0ZfwsCKRHQ,2024-04-14 02:42:53.710497,mid-roll,mid-roll,True,smart_tv
185,324,1564,100,_0ZfwsCKRHQ,2024-05-22 21:19:00.000000,pre-roll,mid-roll,True,desktop
186,324,1564,4,_0ZfwsCKRHQ,2024-05-22 21:19:35.800730,mid-roll,bumper,False,desktop
187,328,694,453,_0ZfwsCKRHQ,2024-08-24 15:56:00.000000,pre-roll,banner,True,mobile
188,328,694,162,_0ZfwsCKRHQ,2024-08-24 15:56:53.904945,mid-roll,mid-roll,True,mobile
189,329,180,98,_0ZfwsCKRHQ,2024-07-13 15:51:00.000000,pre-roll,mid-roll,True,desktop
190,336,387,421,_0ZfwsCKRHQ,2024-09-26 13:22:00.000000,pre-roll,banner,True,mobile
191,338,1682,267,SAb4zRyxrD4,2024-06-27 12:55:00.000000,pre-roll,non-skippable,True,smart_tv
192,338,1682,322,SAb4zRyxrD4,2024-06-27 12:55:38.156110,mid-roll,non-skippable,False,smart_tv
193,341,1913,427,SAb4zRyxrD4,2024-05-16 00:20:00.000000,pre-roll,skippable,False,tablet
194,343,675,421,SAb4zRyxrD4,2024-10-20 18:31:00.000000,pre-roll,banner,True,mobile
195,343,675,406,SAb4zRyxrD4,2024-10-20 18:32:22.115742,mid-roll,non-skippable,True,mobile
196,343,675,457,SAb4zRyxrD4,2024-10-20 18:31:54.863308,mid-roll,pre-roll,True,mobile
197,344,621,267,SAb4zRyxrD4,2024-07-23 14:30:00.000000,pre-roll,non-skippable,True,mobile
198,344,621,38,SAb4zRyxrD4,2024-07-23 14:31:15.375105,mid-roll,skippable,True,mobile
199,345,1960,408,SAb4zRyxrD4,2024-06-27 21:05:00.000000,pre-roll,non-skippable,True,desktop
200,345,1960,116,SAb4zRyxrD4,2024-06-27 21:06:30.524749,mid-roll,mid-roll,False,desktop
201,345,1960,420,SAb4zRyxrD4,2024-06-27 21:06:52.563570,mid-roll,skippable,True,desktop
202,346,525,193,SAb4zRyxrD4,2024-11-27 22:17:00.000000,pre-roll,skippable,False,mobile
203,347,369,145,SAb4zRyxrD4,2024-08-12 19:51:00.000000,pre-roll,bumper,True,mobile
204,347,369,428,SAb4zRyxrD4,2024-08-12 19:53:16.191227,mid-roll,pre-roll,True,mobile
205,347,369,428,SAb4zRyxrD4,2024-08-12 19:53:11.936436,mid-roll,pre-roll,True,mobile
206,350,694,435,-UR7a2he4lw,2024-03-01 23:38:00.000000,pre-roll,banner,True,mobile
207,352,1663,218,-UR7a2he4lw,2024-01-22 00:18:00.000000,pre-roll,skippable,True,mobile
208,354,79,291,-UR7a2he4lw,2024-02-13 17:40:00.000000,pre-roll,non-skippable,True,mobile
209,357,1289,457,-UR7a2he4lw,2024-02-29 22:02:00.000000,pre-roll,pre-roll,True,desktop
210,358,311,453,-UR7a2he4lw,2024-05-11 17:10:00.000000,pre-roll,banner,True,desktop
211,365,1981,359,a4NJNdHqs_I,2024-08-07 14:43:00.000000,pre-roll,pre-roll,False,mobile
212,369,657,200,a4NJNdHqs_I,2024-08-28 12:21:00.000000,pre-roll,skippable,True,mobile
213,371,691,318,a4NJNdHqs_I,2024-02-05 10:46:00.000000,pre-roll,non-skippable,False,smart_tv
214,374,462,405,a4NJNdHqs_I,2024-02-17 00:04:00.000000,pre-roll,banner,True,mobile
215,376,1204,349,a4NJNdHqs_I,2024-01-12 19:20:00.000000,pre-roll,skippable,False,tablet
216,377,946,284,a4NJNdHqs_I,2024-05-11 19:06:00.000000,pre-roll,pre-roll,True,desktop
217,377,946,220,a4NJNdHqs_I,2024-05-11 19:06:44.341850,mid-roll,skippable,True,desktop
218,379,760,161,Mf5kdmW7oWo,2024-06-05 19:48:00.000000,pre-roll,mid-roll,False,tablet
219,379,760,405,Mf5kdmW7oWo,2024-06-05 19:50:02.033804,mid-roll,banner,True,tablet
220,379,760,377,Mf5kdmW7oWo,2024-06-05 19:52:41.389955,post-roll,non-skippable,True,tablet
221,381,1360,443,Mf5kdmW7oWo,2024-12-03 07:23:00.000000,pre-roll,skippable,True,mobile
222,383,1913,65,Mf5kdmW7oWo,2024-11-17 11:55:00.000000,pre-roll,mid-roll,True,mobile
223,387,1663,203,Mf5kdmW7oWo,2024-03-28 09:18:00.000000,pre-roll,skippable,False,mobile
224,390,813,416,Mf5kdmW7oWo,2024-10-06 20:16:00.000000,pre-roll,non-skippable,False,mobile
225,395,1417,224,HvnY2IWoAGI,2024-12-23 04:27:00.000000,pre-roll,pre-roll,True,desktop
226,402,1682,433,HvnY2IWoAGI,2024-05-23 17:07:00.000000,pre-roll,bumper,False,mobile
227,403,1739,304,HvnY2IWoAGI,2024-11-24 15:12:00.000000,pre-roll,bumper,True,mobile
228,404,575,177,HvnY2IWoAGI,2024-11-29 05:08:00.000000,pre-roll,skippable,False,tablet
229,407,1589,428,zhZVp1DtjzY,2024-10-17 12:37:00.000000,pre-roll,pre-roll,True,mobile
230,407,1589,23,zhZVp1DtjzY,2024-10-17 12:38:45.014312,mid-roll,pre-roll,True,mobile
231,408,914,319,zhZVp1DtjzY,2024-09-26 18:31:00.000000,pre-roll,mid-roll,True,mobile
232,408,914,224,zhZVp1DtjzY,2024-09-26 18:32:35.588895,mid-roll,pre-roll,True,mobile
233,408,914,421,zhZVp1DtjzY,2024-09-26 18:32:20.345229,mid-roll,banner,True,mobile
234,412,1773,331,zhZVp1DtjzY,2024-12-01 16:42:00.000000,pre-roll,bumper,False,mobile
235,417,276,455,zhZVp1DtjzY,2024-03-17 20:24:00.000000,pre-roll,pre-roll,False,mobile
236,419,337,162,zhZVp1DtjzY,2024-11-04 15:34:00.000000,pre-roll,mid-roll,True,mobile
237,419,337,406,zhZVp1DtjzY,2024-11-04 15:35:05.497068,mid-roll,non-skippable,True,mobile
238,426,466,284,Ad3HP6iRyUE,2024-09-14 21:11:00.000000,pre-roll,pre-roll,True,mobile
239,426,466,38,Ad3HP6iRyUE,2024-09-14 21:12:25.055851,mid-roll,skippable,True,mobile
240,433,971,336,Ad3HP6iRyUE,2024-02-06 21:27:00.000000,pre-roll,non-skippable,True,mobile
241,443,968,362,lQeUziWDujg,2024-01-26 20:14:00.000000,pre-roll,mid-roll,True,tablet
242,445,698,162,lQeUziWDujg,2024-02-15 11:56:00.000000,pre-roll,mid-roll,True,mobile
243,447,575,141,lQeUziWDujg,2024-06-14 21:51:00.000000,pre-roll,mid-roll,True,tablet
244,447,575,220,lQeUziWDujg,2024-06-14 21:52:20.218797,mid-roll,skippable,True,tablet
245,447,575,101,lQeUziWDujg,2024-06-14 21:53:21.634978,mid-roll,pre-roll,True,tablet
246,448,594,113,lQeUziWDujg,2024-03-30 10:46:00.000000,pre-roll,mid-roll,True,smart_tv
247,451,1820,446,vSKik_X_FjQ,2024-09-03 21:15:00.000000,pre-roll,skippable,False,mobile
248,452,575,370,vSKik_X_FjQ,2024-02-08 20:56:00.000000,pre-roll,mid-roll,True,tablet
249,453,1931,224,vSKik_X_FjQ,2024-03-08 10:23:00.000000,pre-roll,pre-roll,True,mobile
250,459,386,145,4KbrxIpQgkM,2024-08-04 20:01:00.000000,pre-roll,bumper,True,mobile
251,460,184,336,4KbrxIpQgkM,2024-01-19 11:34:00.000000,pre-roll,non-skippable,True,smart_tv
252,460,184,15,4KbrxIpQgkM,2024-01-19 11:35:57.900723,mid-roll,skippable,True,smart_tv
253,460,184,218,4KbrxIpQgkM,2024-01-19 11:34:45.819051,mid-roll,skippable,True,smart_tv
254,461,617,160,4KbrxIpQgkM,2024-12-15 00:38:00.000000,pre-roll,banner,False,smart_tv
255,464,512,65,7mCTaTJ0kDo,2024-08-09 03:14:00.000000,pre-roll,mid-roll,True,mobile
256,464,512,259,7mCTaTJ0kDo,2024-08-09 03:15:08.869573,mid-roll,bumper,False,mobile
257,464,512,163,7mCTaTJ0kDo,2024-08-09 03:16:42.018937,mid-roll,mid-roll,False,mobile
258,465,466,131,7mCTaTJ0kDo,2024-04-10 17:57:00.000000,pre-roll,pre-roll,True,mobile
259,465,466,385,7mCTaTJ0kDo,2024-04-10 17:58:09.082406,mid-roll,mid-roll,False,mobile
